id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,loss
10,130,8,0.817087155,1800,17,627,4398.0,6136.0,129.13,129.87,10,0.8083,0.7886,11681308,0.7886,0.7823,0.6409999999999999,0.7886,0.8739,0.8661,1869191940.0,97,77,1213761.0,97.0,97.0,109.46,102.85,97.0,1.0,0,0,0,3,0,0,0.71115,0.76407,0
11,158,8,0.544424557,3500,10,80135,1692.0,6223.0,158.27,158.39,6,0.8018,0.8018,2802675,0.7542,0.7542,0.5654,0.8241,0.8476,0.7946,5112847080.0,89,112,1291123.0,136.91,109.67,163.43,119.5,89.0,0.9674,0,0,0,33,0,0,0.7671,0.76878,0
12,161,8,0.528281888,5300,7,9482,7787.0,5610.0,156.25,160.01,18,0.8607,0.8537,113891,0.8537,0.8537,0.6709999999999999,0.8607,0.9375,0.8824,7691260500.0,105,115,1664775.0,155.31,126.95,172.97,133.75,105.0,1.0,0,0,0,4,0,0,0.72685,0.8283299999999999,5
13,129,6,0.854485367,1300,7,1078,3951.0,3001.0,128.25,128.74,14,0.8468,0.8468,11697694,0.8537,0.8468,0.7336,0.875,0.9129999999999999,0.8537,2139291000.0,105,91,1389150.0,105.0,105.0,105.0,105.0,105.0,0.9722,0,0,0,4,0,0,0.8234,0.8421200000000001,4
14,117,10,0.259616883,2100,16,84020,142.0,1178.0,117.65,116.83,10,0.8981,0.8509,13885,0.7823,0.7823,0.5914,0.8584,0.9065,0.8899,1700959020.0,97,52,1082035.0,97.0,97.0,97.0,97.0,97.0,0.9604,0,0,0,10,0,0,0.75115,0.77407,0
15,121,9,0.34937482799999997,1300,10,82768,802.0,3729.0,120.0,120.64,11,0.7521,0.7458,251391,0.7154,0.7154,0.4694,0.7333,0.7788,0.7788,1008431424.0,88,65,906048.0,88.0,88.0,88.0,88.0,88.0,0.9565,0,0,0,2,0,0,0.7277,0.71386,0
16,130,9,0.091886358,1800,16,78252,1259.0,2600.0,128.05,129.94,10,0.7398,0.7339,2500465,0.7398,0.7339,0.5225,0.7339,0.8125,0.8053,1897922390.0,91,57,1076530.0,91.0,91.0,91.0,91.0,91.0,0.8835,0,0,0,21,0,0,0.71695,0.74051,0
17,123,10,0.7825217790000001,1300,4,83607,2298.0,1206.0,124.43,123.22,13,0.7542,0.7542,859408,0.7542,0.7542,0.5256,0.7607,0.7946,0.7807,1306965000.0,89,48,990125.0,89.0,89.0,100.43,94.37,89.0,0.9468,0,0,0,6,0,0,0.7171,0.74878,12
18,159,8,0.224035955,5300,3,75609,1397.0,183.0,156.55,158.59,13,0.0,0.0,741450,0.0,0.0,0.3923,0.0,,,5052801600.0,0,93,1093680.0,0.0,0.0,0.0,0.0,84.0,0.0,0,0,0,21,0,0,0.19,0.06,0
19,129,9,0.42241651399999997,1100,17,14448,2899.0,3833.0,127.56,128.63,9,0.8333,0.7983,1479936,0.7724,0.7724,0.5845,0.812,0.8407,0.8407,1263500000.0,95,66,1128125.0,95.0,95.0,95.0,95.0,95.0,0.9406,0,0,0,13,0,0,0.7962,0.7751600000000001,0
20,139,8,0.8203021559999999,3600,13,79293,198.0,15.0,144.66,140.2,10,0.7368,0.7304,367688,0.6563,0.6563,0.3979,0.6885,0.7925,0.7568,5625607680.0,84,59,1065456.0,126.78,102.56,133.77,105.26,84.0,0.9231,0,0,0,10,0,0,0.54815,0.65067,0
21,128,8,0.930174414,1300,10,84857,850.0,1372.0,128.13,128.07,4,0.7881,0.7881,599296,0.7881,0.7881,0.5923,0.7949,0.8158,0.8017,1468288836.0,93,88,1115721.0,93.0,93.0,93.0,93.0,93.0,1.0,0,0,0,4,0,0,0.76405,0.7892899999999999,0
22,152,8,0.7682604690000001,4800,3,86034,4393.0,2361.0,147.72,151.03,11,0.0,0.0,451770,0.0,0.0,0.3943,0.0,0.0,0.0,3307605180.0,0,0,911186.0,0.0,0.0,0.0,0.0,79.0,,0,0,0,5,0,0,0.29,0.06,0
23,125,10,0.361947361,3100,16,75019,2053.0,355.0,126.75,125.53,10,0.807,0.7931,861225,0.7863,0.7863,0.5869,0.8,0.8142,0.8142,3902919680.0,92,51,1108784.0,92.0,92.0,128.75,108.28,92.0,0.9388,0,0,0,4,0,0,0.75315,0.77767,0
24,133,10,0.069444823,1100,4,9290,8918.0,6949.0,129.46,132.55,14,0.7949,0.7881,2710355,0.7561,0.7561,0.578,0.775,0.8455,0.823,1227293100.0,93,67,1115721.0,93.0,93.0,93.0,93.0,93.0,1.0,0,0,0,15,0,0,0.74805,0.76049,0
25,134,6,0.55951246,4400,4,10845,5110.0,9807.0,131.67,133.21,20,0.8727,0.8727,16217486,0.8727,0.8727,0.7105,0.8727,0.8727,0.8727,4731264000.0,96,95,1152000.0,96.0,96.0,158.14,122.29,96.0,0.9697,0,0,0,21,0,0,0.86635,0.8754299999999999,0
26,124,10,0.34137535799999996,1300,16,14332,2274.0,697.0,132.46,126.73,10,0.6379,0.6379,15343,0.6379,0.6379,0.4717,0.6379,0.6491,0.6491,1603120904.0,74,15,843304.0,74.0,74.0,74.0,74.0,74.0,0.7708,0,0,0,12,0,0,0.61895,0.6341100000000001,0
27,125,8,0.759875733,2200,10,3659,5909.0,3837.0,124.66,124.82,14,0.8347,0.8145,15802753,0.8211,0.8145,0.609,0.8145,0.8859999999999999,0.8783,2225878602.0,101,85,1254723.0,101.0,101.0,124.49,111.78,101.0,1.0,0,0,0,6,0,0,0.81725,0.81305,0
28,126,11,0.832567411,1600,16,85723,152.0,6683.0,123.03,125.53,12,0.8142,0.7863,691440,0.748,0.7419,0.5453,0.7863,0.8364,0.8214,1590216320.0,92,36,1032608.0,92.0,92.0,113.4,101.82,92.0,0.9109,0,0,0,25,0,0,0.72095,0.7377100000000001,0
29,151,8,0.8853018909999999,4800,2,75002,3285.0,1583.0,156.26,151.98,15,0.8,0.7805,3966893,0.7805,0.7805,0.5943,0.8,0.8067,0.8067,6812467200.0,96,91,1474560.0,157.88,122.19,147.22,118.12,96.0,0.9143,0,0,0,18,0,0,0.73025,0.77245,0
30,137,8,0.7371057740000001,5300,1,75609,1180.0,2408.0,141.68,138.23,11,0.0,0.0,569733,0.0,0.0,0.7768,0.0,0.0,0.0,6075036000.0,0,0,1227280.0,0.0,0.0,0.0,0.0,92.0,0.0,0,0,0,12,0,0,0.1,0.01,0
31,123,8,0.9280759829999999,2200,16,78920,306.0,3369.0,125.1,123.26,7,0.8824,0.8468,122112,0.8537,0.8468,0.6689,0.8468,0.9375,0.9292,2425500000.0,105,80,1378125.0,105.0,105.0,105.0,105.0,105.0,1.0,0,0,0,11,0,0,0.7934,0.8321200000000001,5
32,152,8,0.777885644,4300,7,76669,1206.0,967.0,152.0,152.11,8,0.6048,0.6048,2525010,0.5952,0.5859,0.3185,0.5952,0.6637,0.6522,3811500000.0,75,76,866250.0,108.57,89.73,127.4,96.97,75.0,0.8152,0,0,0,5,0,0,0.53295,0.56731,0
33,140,3,0.147850851,4600,10,83160,1582.0,59.0,142.73,140.0,14,0.848,0.848,7584,0.7852,0.7852,0.5993,0.8548,0.8548,0.8346,7043736040.0,106,121,1561804.0,171.65,133.91,162.56,130.42,106.0,0.955,0,0,0,16,0,0,0.8026,0.79668,0
34,127,7,0.719477382,1800,4,1078,4267.0,1807.0,126.25,127.14,12,0.8264,0.8065,12320368,0.813,0.8065,0.631,0.8065,0.8772,0.8696,2288000000.0,100,91,1300000.0,100.0,100.0,100.0,100.0,100.0,0.9434,0,0,0,12,0,0,0.79325,0.79585,0
35,122,9,0.588520547,1800,3,1721,777.0,3833.0,121.34,122.29,8,0.775,0.7561,90093,0.7561,0.75,0.5289,0.775,0.8611,0.8304,1918002240.0,93,61,1089774.0,93.0,93.0,93.0,93.0,93.0,0.9588,0,0,0,58,0,0,0.765,0.755,12
36,115,10,0.04349523,2400,3,82231,6998.0,3770.0,118.38,115.28,9,0.7545,0.7411,5605589,0.7155,0.6694,0.4128,0.7345,0.7905,0.7477,1678925079.0,83,22,806013.0,83.0,83.0,83.0,83.0,83.0,0.8384,0,0,0,3,0,0,0.6447,0.66246,0
37,132,8,0.8493601470000001,3100,17,7458,6324.0,5068.0,127.63,131.02,7,0.6218,0.5920000000000001,725013,0.5920000000000001,0.5920000000000001,0.3393,0.6325,0.6607,0.6379,1473766832.0,74,46,668072.0,74.0,74.0,97.78,84.71,74.0,0.7872,0,0,0,4,0,0,0.6659999999999999,0.6128,0
38,117,6,0.391554426,1500,4,78252,3937.0,2538.0,120.43,117.57,17,0.8908,0.8548,2004299,0.8618,0.8548,0.6653,0.8548,0.9138,0.8759999999999999,2412593920.0,106,92,1370792.0,106.0,106.0,106.0,106.0,106.0,0.9725,0,0,0,7,0,0,0.8274,0.8493200000000001,0
39,159,8,0.756707813,5300,2,83150,2937.0,272.0,152.51,157.46,15,0.6842,0.6667,8272,0.5778,0.5778,0.3338,0.6783,0.6842,0.6142,3923754120.0,78,94,870012.0,124.27,97.76,136.27,102.23,78.0,0.8966,0,0,0,14,0,0,0.3789,0.5200199999999999,0
40,133,10,0.6889180859999999,1100,3,183,1309.0,2498.0,129.55,132.7,13,0.8049,0.8049,1944045,0.8049,0.8049,0.6652,0.825,0.8761,0.8761,1412324100.0,99,62,1283931.0,99.0,99.0,99.0,99.0,99.0,0.934,0,0,0,36,0,0,0.78245,0.7944100000000001,0
41,156,8,0.24326375600000003,3500,4,82432,1993.0,210.0,155.71,156.19,11,0.1946,0.1946,1483113,0.5414,0.1946,0.0384,0.1946,0.6,0.6,2883133440.0,72,83,819072.0,101.86,85.19,105.81,86.78,72.0,0.8182,0,0,0,6,0,0,0.3773,0.23514000000000002,0
42,135,8,0.328427803,2600,16,3580,4771.0,84.0,130.38,134.25,9,0.0,0.0,8088,0.0,0.0,0.6296,0.0,0.0,0.0,,0,87,,0.0,0.0,0.0,0.0,,,0,0,0,5,0,0,0.0,0.0,0
43,129,10,0.35756610200000005,1800,16,82621,380.0,2097.0,125.81,128.69,14,0.8403,0.8065,102024,0.813,0.8065,0.6164,0.8475,0.8929,0.8929,2235200000.0,100,67,1270000.0,100.0,100.0,123.26,110.67,100.0,1.0,0,0,0,67,0,0,0.78325,0.80585,0
44,116,9,0.401913377,1100,16,76957,6710.0,3826.0,121.29,117.3,13,0.8348,0.8205,6997350,0.7805,0.7805,0.6207,0.8205,0.8496,0.8496,1341849600.0,96,56,1198080.0,96.0,96.0,96.0,96.0,96.0,0.932,0,0,0,20,0,0,0.81025,0.79245,0
45,159,9,0.710673995,3500,10,9482,72.0,3609.0,157.0,158.84,15,0.7698,0.7462,13941378,0.7293,0.2622,0.0696,0.7578,0.8435,0.8435,5232909440.0,97,104,1486622.0,97.0,97.0,135.75,114.17,97.0,0.9327,0,0,0,2,0,0,0.2711,0.26598,0
46,123,9,0.910581635,1500,16,14234,1981.0,2671.0,125.85,123.55,13,0.8246,0.8034,3220187,0.7642,0.7581,0.5532,0.8034,0.8393,0.8319,2006125440.0,94,64,1139844.0,94.0,94.0,115.86,104.03,94.0,0.9691,0,0,0,20,0,0,0.75905,0.75229,0
47,121,6,0.981381782,1300,16,83241,4886.0,708.0,122.09,120.78,8,0.8957,0.8803,2122145,0.8374,0.8374,0.6431,0.8803,0.8803,0.8583,1365378300.0,103,83,1241253.0,103.0,103.0,126.96,113.99,103.0,0.945,0,0,0,28,0,0,0.8387,0.8436600000000001,0
48,124,8,0.132606219,1300,4,13689,2715.0,2947.0,123.61,124.05,16,0.7731,0.748,1711183,0.748,0.748,0.5481,0.748,0.8364,0.7863,1163800000.0,92,69,1058000.0,92.0,92.0,92.0,92.0,92.0,0.8932,0,0,0,20,0,0,0.754,0.7432,0
49,161,1,0.578310395,4600,7,82556,328.0,272.0,157.55,160.3,14,0.0,0.0,150592,0.0,0.0,0.0351,0.0,,,5900301440.0,0,124,1676222.0,0.0,0.0,0.0,0.0,103.0,,0,0,0,6,0,0,0.09,0.0,0
50,121,6,0.662254817,1100,4,13699,3663.0,5132.0,122.5,121.3,5,0.7881,0.7881,11726306,0.7881,0.7881,0.5693,0.7881,0.7881,0.7881,1415668320.0,93,78,1072476.0,93.0,93.0,93.0,93.0,93.0,0.93,0,0,0,2,0,0,0.76405,0.7792899999999999,0
51,139,9,0.084736302,2600,4,14629,3224.0,2263.0,139.5,139.1,12,0.8475,0.813,6743785,0.8197,0.7692,0.6735,0.7692,0.9091,0.8696,3668000000.0,100,92,1400000.0,100.0,100.0,132.14,114.47,100.0,0.9804,0,0,0,3,0,0,0.7746,0.78228,0
52,126,8,0.802303724,1300,3,11699,2671.0,3835.0,125.12,125.59,9,0.8136,0.8136,1280900,0.8136,0.8136,0.5919,0.8205,0.8807,0.8276,1469749248.0,96,62,1115136.0,96.0,96.0,96.0,96.0,96.0,0.9143,0,0,0,20,0,0,0.7968,0.81224,0
53,129,9,0.7383435709999999,3100,16,79202,4039.0,6140.0,128.58,129.0,12,0.8108,0.8036,15504730,0.7692,0.7692,0.6153,0.8036,0.8036,0.8036,3057377400.0,90,58,1044900.0,90.0,90.0,118.93,103.02,90.0,1.0,0,0,0,8,0,0,0.7546,0.7622800000000001,0
54,116,9,0.199436461,2300,4,78935,6946.0,3100.0,117.5,115.74,13,0.7476,0.6581,2121291,0.7476,0.6581,0.379,0.6581,0.7624,0.7476,949588640.0,77,22,664048.0,77.0,77.0,77.0,77.0,77.0,0.7624,0,0,0,3,0,0,0.66905,0.6622899999999999,0
55,115,10,0.186721127,1500,4,9128,1315.0,6885.0,118.38,115.71,11,0.75,0.7105,1510371,0.6532,0.6532,0.4375,0.7168,0.757,0.7431,1258294824.0,81,14,800442.0,81.0,81.0,81.0,81.0,81.0,0.802,0,0,0,92,0,0,0.6566,0.64788,0
56,147,8,0.835223498,3500,7,10590,489.0,5613.0,151.0,147.56,17,0.6522,0.5814,14596989,0.5814,0.5814,0.3172,0.625,0.6409999999999999,0.6409999999999999,3197700000.0,75,81,855000.0,103.51,87.68,104.96,88.27,75.0,0.75,0,0,0,2,0,0,0.4007,0.5432600000000001,0
57,153,8,0.567421238,3500,13,79754,4293.0,293.0,156.93,154.23,10,0.5478,0.5339,4776742,0.5431,0.5339,0.285,0.5339,0.5676,0.5431,2754009720.0,63,28,658854.0,89.12,74.54,96.61,77.51,63.0,0.6429,0,0,0,11,0,0,0.36695,0.48051000000000005,0
58,124,10,0.281842522,1500,3,79015,5507.0,1214.0,126.38,125.0,17,0.687,0.687,11735370,0.6809999999999999,0.6809999999999999,0.4713,0.6809999999999999,0.693,0.693,1601659035.0,79,17,842535.0,79.0,79.0,79.0,79.0,79.0,0.79,0,0,0,20,0,0,0.7105,0.6829,0
59,125,10,0.905458641,1800,16,7399,476.0,67.0,123.97,124.78,12,0.0,0.0,160765,0.0,0.0,0.3311,0.0,0.0,0.0,1475999140.0,0,60,958441.0,0.0,0.0,0.0,0.0,89.0,0.866,0,0,0,6,0,0,0.36,0.07,0
60,152,8,0.935866208,3900,3,13970,378.0,789.0,153.58,152.65,16,0.6491,0.5781,188268,0.5873,0.5781,0.3221,0.5968,0.6491,0.6435,3855104000.0,74,50,876160.0,107.12,88.54,113.48,91.05,74.0,0.7708,0,0,0,7,0,0,0.55905,0.59029,0
61,156,8,0.606531622,4400,10,11415,5425.0,2428.0,155.5,155.61,9,0.6859999999999999,0.6859999999999999,1290006,0.6859999999999999,0.6694,0.4442,0.6859999999999999,0.7155,0.7155,4492179120.0,83,80,1047128.0,122.77,100.35,121.98,100.03,83.0,0.7905,0,0,0,4,0,0,0.4847,0.62246,0
62,151,8,0.416513542,4300,13,401,549.0,5833.0,154.88,151.53,12,0.0,0.0,2439863,0.0,0.0,0.2384,0.0,0.0,0.0,3704720800.0,0,56,841982.0,0.0,0.0,0.0,0.0,73.0,0.875,0,0,0,4,0,0,0.14,0.05,0
63,127,9,0.7860845320000001,2400,4,2494,351.0,404.0,125.4,126.71,9,0.9266,0.9266,3499662,0.8707,0.8145,0.6478,0.8145,0.9528,0.9099,2693023196.0,101,64,1264924.0,101.0,101.0,133.46,115.61,101.0,0.9712,0,0,0,8,0,0,0.76725,0.80305,0
64,118,9,0.10106897599999999,1300,4,2456,8624.0,2560.0,119.92,118.1,6,0.8291,0.8220000000000001,961666,0.7886,0.7886,0.5752,0.7886,0.8899,0.8584,1227949772.0,97,57,1110262.0,97.0,97.0,97.0,97.0,97.0,0.9417,0,0,0,22,0,0,0.7643,0.77974,0
65,134,9,0.509845816,1800,7,10325,507.0,903.0,132.31,133.49,9,0.6935,0.688,7945,0.688,0.688,0.4846,0.7227,0.7818,0.7478,2129515488.0,86,72,954084.0,86.0,86.0,106.0,95.18,86.0,0.9663,0,0,0,11,0,0,0.7340000000000001,0.6992,0
66,134,8,0.941513389,1100,3,78223,6060.0,7375.0,128.2,132.64,14,0.8908,0.8618,2750449,0.8618,0.8618,0.6986,0.8833,0.9217,0.9138,1483152000.0,106,84,1348320.0,106.0,106.0,106.0,106.0,106.0,0.9907,0,0,0,29,0,0,0.8109,0.84562,0
67,138,8,0.256570275,1300,3,79649,1495.0,1485.0,132.82,137.35,9,0.6949,0.6949,2075467,0.6949,0.6949,0.4747,0.6949,0.6949,0.6949,1180465440.0,82,40,894292.0,82.0,82.0,82.0,82.0,82.0,0.7885,0,0,0,71,0,0,0.77745,0.71541,0
68,124,9,0.582871681,1800,3,84857,635.0,14.0,126.13,124.5,13,0.5984,0.5984,636501,0.5935,0.5887,0.363,0.6404,0.6518,0.6518,1058659140.0,73,28,687441.0,73.0,73.0,96.46,83.56,73.0,0.7449,0,0,0,3,0,0,0.58435,0.58983,0
69,129,9,0.363719622,1500,4,14024,3282.0,420.0,129.0,129.0,10,0.5678,0.5403,2197272,0.5403,0.5403,0.3165,0.5678,0.5929,0.5877,901050036.0,67,43,579081.0,67.0,67.0,82.58,74.15,67.0,0.7882,0,0,0,2,0,0,0.63015,0.5562699999999999,0
70,121,4,0.272648689,1300,4,393,6429.0,7993.0,121.08,120.75,22,0.8155,0.7179,19121770,0.7925,0.7179,0.4752,0.7179,0.8155,0.8155,1190629440.0,84,59,832608.0,84.0,84.0,84.0,84.0,84.0,0.8077,0,0,0,8,0,0,0.75895,0.72611,0
71,143,10,0.342348773,1300,4,81582,8.0,649.0,130.22,140.0,16,0.6552,0.6441,31162,0.6441,0.6441,0.3434,0.6496,0.7238,0.6667,848748544.0,76,12,646912.0,76.0,76.0,93.68,84.11,76.0,0.7917,0,0,0,8,0,0,0.70205,0.64969,0
72,126,8,0.174580321,1300,4,83554,8090.0,1843.0,126.09,126.11,8,0.8898,0.8898,2625635,0.8898,0.8898,0.7433,0.8898,0.9052,0.9052,1848231000.0,105,86,1400175.0,105.0,105.0,105.0,105.0,105.0,1.0,0,0,0,25,0,0,0.8449,0.88082,0
73,158,7,0.8076162579999999,6300,4,79725,852.0,539.0,155.16,157.64,13,0.9204,0.9204,381857,0.9204,0.9204,0.8155,0.9286,0.9286,0.9286,11802419200.0,104,121,1676480.0,104.0,104.0,104.0,104.0,104.0,0.9811,0,0,0,50,0,0,0.8302,0.9083600000000001,0
74,150,6,0.34050971700000005,5300,7,7891,1549.0,3487.0,149.82,149.57,15,0.8908,0.8346,1574647,0.8154,0.8154,0.618,0.8983,0.8983,0.8983,9139924200.0,106,130,1629220.0,163.06,130.62,185.18,138.93,106.0,0.9725,0,0,0,28,0,0,0.7777,0.81386,0
75,128,8,0.711007582,1300,4,13699,822.0,5949.0,125.81,127.61,6,0.7627,0.7627,80251,0.7627,0.7627,0.5332,0.7692,0.7895,0.7759,1325808000.0,90,61,1004400.0,90.0,90.0,90.0,90.0,90.0,0.8824,0,0,0,9,0,0,0.78135,0.7664300000000001,4
76,134,10,0.609658139,1800,3,9290,6887.0,1114.0,132.12,133.83,11,0.605,0.5806,12730638,0.5854,0.5806,0.3346,0.595,0.6792,0.6429,1213470720.0,72,13,689472.0,72.0,72.0,88.75,79.68,72.0,0.75,0,0,0,12,0,0,0.5703,0.5725399999999999,0
77,123,10,0.250945997,2700,16,79649,7014.0,785.0,124.42,123.13,11,0.8158,0.8158,2831453,0.8017,0.8017,0.6064,0.8378,0.8611,0.8455,2884960440.0,93,53,1072476.0,93.0,93.0,93.0,93.0,93.0,0.9688,0,0,0,20,0,0,0.79085,0.7915300000000001,0
78,127,9,0.39400922200000005,2200,4,82384,8071.0,1060.0,124.01,126.45,9,0.7227,0.6935,238239,0.6992,0.6935,0.4379,0.7107,0.7748,0.7611,1615138480.0,86,55,902312.0,86.0,86.0,106.0,95.18,86.0,0.9247,0,0,0,39,0,0,0.73675,0.70415,0
79,124,10,0.15587237,1700,10,84020,6177.0,7558.0,122.54,123.46,6,0.7692,0.7377,1062466,0.7692,0.7377,0.5017,0.7377,0.8491,0.7965,1892484000.0,90,40,955800.0,90.0,90.0,110.93,99.6,90.0,0.8738,0,0,0,6,0,0,0.73885,0.74393,0
80,123,10,0.828552572,2600,16,1721,2898.0,440.0,123.38,122.91,11,0.7788,0.7788,13645928,0.7586,0.7586,0.5342,0.7788,0.8148,0.8,2541425920.0,88,51,944768.0,88.0,88.0,88.0,88.0,88.0,0.9888,0,0,0,9,0,0,0.7393,0.75274,0
81,122,9,0.632945547,1500,4,78,6162.0,7540.0,125.22,122.71,12,0.2991,0.2823,3269208,0.2846,0.2823,0.0834,0.2846,0.3153,0.3125,243832575.0,35,0,158025.0,35.0,35.0,35.0,35.0,35.0,0.3535,0,0,0,6,0,0,0.49115,0.32406999999999997,0
82,123,6,0.0039947690000000004,1800,4,2572,6907.0,7660.0,128.53,124.27,11,0.8571,0.8226,1196872,0.8293,0.8226,0.6867,0.8226,0.8947,0.887,2497376160.0,102,95,1414944.0,102.0,102.0,125.72,112.88,102.0,1.0,0,0,0,7,0,0,0.8213,0.82034,0
83,161,1,0.73397805,3600,7,79559,980.0,1153.0,157.38,160.12,20,0.5873,0.5873,352553,0.5873,0.5873,0.3369,0.6116,0.6491,0.6271,3021437760.0,74,55,832352.0,102.13,86.51,108.75,89.19,74.0,0.7048,0,0,0,3,0,0,0.38365,0.54857,0
84,118,9,0.459719885,2600,16,14213,2168.0,226.0,122.13,118.5,13,0.887,0.7846,164211,0.8361,0.7846,0.6056,0.8793,0.887,0.887,3323453760.0,102,76,1258884.0,102.0,102.0,142.75,120.05,102.0,0.9903,0,0,0,11,0,0,0.7823,0.78614,0
85,132,10,0.637706724,1800,16,80537,1430.0,120.0,129.4,131.71,13,0.8991,0.875,848915,0.8448,0.8448,0.6984,0.8448,0.8991,0.8596,2373436520.0,98,65,1248520.0,98.0,98.0,98.0,98.0,98.0,0.9899,0,0,0,49,0,0,0.8224,0.8403200000000001,0
86,121,8,0.47619346799999995,2300,4,86027,1760.0,6020.0,124.73,121.18,10,0.7712,0.7521,164093,0.728,0.728,0.5047,0.7712,0.8125,0.7778,2164322160.0,91,45,993720.0,91.0,91.0,120.25,104.17,91.0,0.8667,0,0,0,27,0,0,0.7040000000000001,0.7152,0
87,123,9,0.580030576,2200,16,7399,7019.0,1070.0,127.01,123.9,10,0.8547,0.8197,3929949,0.8,0.8,0.6705,0.8475,0.9009,0.9009,2904000000.0,100,61,1320000.0,100.0,100.0,139.95,117.7,100.0,0.9709,0,0,0,101,0,0,0.81,0.8,0
88,143,7,0.75261651,3600,2,80502,1900.0,91.0,146.07,143.47,6,0.9123,0.8455,2679437,0.8254,0.8254,0.6479,0.8387,0.9123,0.8814,5810787840.0,104,105,1600768.0,159.99,128.15,159.49,127.96,104.0,1.0,0,0,0,25,0,0,0.5727,0.77286,0
89,119,9,0.6448446729999999,2200,4,76973,9616.0,2032.0,121.13,119.0,14,0.7290000000000001,0.6842,5377652,0.6724,0.6724,0.4074,0.7027,0.7091,0.7091,1931183280.0,78,10,717912.0,78.0,78.0,78.0,78.0,78.0,0.75,0,0,0,4,0,0,0.6362,0.6551600000000001,0
90,130,1,0.7236412520000001,1300,4,2277,4620.0,2596.0,128.82,129.64,17,0.9145,0.9145,61669831,0.9145,0.9068,0.7658,0.9145,0.9145,0.9068,1904197680.0,107,98,1442574.0,107.0,107.0,120.75,113.46,107.0,0.9068,0,0,0,4,0,0,0.8034,0.90612,0
91,126,8,0.520364493,1800,16,76957,6756.0,6465.0,122.49,125.05,8,0.9304,0.9224,7048447,0.9224,0.9224,0.7429,0.9224,0.9224,0.9224,2524687684.0,107,83,1328084.0,107.0,107.0,107.0,107.0,107.0,1.0,0,0,0,16,0,0,0.6612,0.84016,0
